[2023-05-03 11:11:03] [info]  [ 5536] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-05-03 11:11:04] [info]  [ 5536] Running Service 'Tomcat9'...
[2023-05-03 11:11:04] [info]  [ 6904] Starting service...
[2023-05-03 11:11:08] [info]  [ 6904] Service started in 3918 milliseconds.
[2023-05-04 20:44:03] [info]  [ 5536] Service SERVICE_CONTROL_STOP signalled.
[2023-05-04 20:44:03] [info]  [11676] Stopping service...
[2023-05-04 20:44:04] [info]  [11676] Service stop thread completed.
[2023-05-04 20:44:04] [info]  [ 5536] Run service finished.
[2023-05-04 20:44:04] [info]  [ 5536] Apache Commons Daemon procrun finished.
