[2023-07-02 17:17:02] [info]  [ 5248] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-07-02 17:17:03] [info]  [ 5248] Running Service 'Tomcat9'...
[2023-07-02 17:17:03] [info]  [ 5136] Starting service...
[2023-07-02 17:17:06] [info]  [ 5136] Service started in 3096 milliseconds.
[2023-07-03 16:12:42] [info]  [10612] Console SHUTDOWN event signaled.
[2023-07-03 16:12:42] [info]  [10612] Stopping service...
[2023-07-03 16:12:43] [info]  [10612] Service stop thread completed.
[2023-07-03 16:12:43] [info]  [ 5248] Run service finished.
[2023-07-03 16:12:43] [info]  [ 5248] Apache Commons Daemon procrun finished.
