[2023-05-18 21:26:14] [info]  [ 5656] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-05-18 21:26:15] [info]  [ 5656] Running Service 'Tomcat9'...
[2023-05-18 21:26:15] [info]  [ 6980] Starting service...
[2023-05-18 21:26:19] [info]  [ 6980] Service started in 3481 milliseconds.
[2023-05-19 12:50:34] [info]  [29296] Console SHUTDOWN event signaled.
[2023-05-19 12:50:34] [info]  [29296] Stopping service...
[2023-05-19 12:50:35] [info]  [29296] Service stop thread completed.
[2023-05-19 12:50:35] [info]  [ 5656] Run service finished.
[2023-05-19 12:50:35] [info]  [ 5656] Apache Commons Daemon procrun finished.
