[2023-05-19 12:51:05] [info]  [ 5464] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-05-19 12:51:06] [info]  [ 5464] Running Service 'Tomcat9'...
[2023-05-19 12:51:06] [info]  [ 7532] Starting service...
[2023-05-19 12:51:09] [info]  [ 7532] Service started in 2164 milliseconds.
[2023-05-21 12:46:43] [info]  [42796] Console SHUTDOWN event signaled.
[2023-05-21 12:46:43] [info]  [42796] Stopping service...
[2023-05-21 12:46:44] [info]  [42796] Service stop thread completed.
[2023-05-21 12:46:44] [info]  [ 5464] Run service finished.
[2023-05-21 12:46:44] [info]  [ 5464] Apache Commons Daemon procrun finished.
