[2023-06-15 15:30:16] [info]  [ 5808] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-06-15 15:30:17] [info]  [ 5808] Running Service 'Tomcat9'...
[2023-06-15 15:30:17] [info]  [ 5412] Starting service...
[2023-06-15 15:30:20] [info]  [ 5412] Service started in 2682 milliseconds.
[2023-06-16 14:56:24] [info]  [21928] Console SHUTDOWN event signaled.
[2023-06-16 14:56:24] [info]  [21928] Stopping service...
[2023-06-16 14:56:25] [info]  [21928] Service stop thread completed.
[2023-06-16 14:56:25] [info]  [ 5808] Run service finished.
[2023-06-16 14:56:25] [info]  [ 5808] Apache Commons Daemon procrun finished.
