[2023-05-12 10:09:32] [info]  [ 5388] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-05-12 10:09:33] [info]  [ 5388] Running Service 'Tomcat9'...
[2023-05-12 10:09:33] [info]  [ 7684] Starting service...
[2023-05-12 10:09:36] [info]  [ 7684] Service started in 3226 milliseconds.
[2023-05-13 20:55:10] [info]  [ 5388] Service SERVICE_CONTROL_STOP signalled.
[2023-05-13 20:55:10] [info]  [12260] Stopping service...
[2023-05-13 20:55:11] [info]  [12260] Service stop thread completed.
[2023-05-13 20:55:11] [info]  [ 5388] Run service finished.
[2023-05-13 20:55:11] [info]  [ 5388] Apache Commons Daemon procrun finished.
